Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB
1, eco1, 1881, 21408.86, 3.2, 350.1
1, eco2, 7920, 19913.70, 0.7, 327.3
2, eco1, 1881, 20518.68, 3.2, 350.1
2, eco2, 7920, 18973.43, 0.7, 327.3
3, eco1, 1881, 20264.17, 133.5, 349.9
3, eco2, 7920, 18659.05, 278.2, 326.2
4, eco1, 1881, 19629.60, 133.5, 349.9
4, eco2, 7920, 17984.38, 278.1, 274.6
0, eco1, 1881, 19629.60, 133.5, 349.9
0, eco2, 7920, 17925.48, 278.1, 274.6
5, eco1, 1881, 20912.79, 794.3, 345.4
5, eco2, 7920, 18790.05, 746.8, 294.8
6, eco1, 1881, 20912.79, 794.3, 345.4
6, eco2, 7920, 18790.05, 746.8, 294.8
7, eco1, 1881, 20912.79, 794.3, 345.4
7, eco2, 7920, 18790.05, 746.8, 294.8
8, eco1, 1881, 20912.79, 794.3, 345.4
8, eco2, 7920, 18790.05, 746.8, 294.8
9, eco1, 1881, 20912.79, 794.3, 345.4
9, eco2, 7920, 18790.05, 746.8, 294.8
10, eco1, 1881, 22059.78, 814.3, 350.7
10, eco2, 7920, 20137.72, 778.1, 323.6
11, eco1, 1881, 22059.78, 814.3, 350.7
11, eco2, 7920, 20137.72, 778.1, 323.6
12, eco1, 1881, 22059.78, 814.3, 350.7
12, eco2, 7920, 20137.72, 778.1, 323.6
13, eco1, 1881, 22059.78, 814.3, 350.7
13, eco2, 7920, 20137.72, 778.1, 323.6
14, eco1, 1881, 22059.78, 814.3, 350.7
14, eco2, 7920, 20137.72, 778.1, 323.6
15, eco1, 1881, 22833.87, 823.9, 351.5
15, eco2, 7920, 21140.47, 786.7, 323.8
16, eco1, 1881, 22833.87, 823.9, 351.5
16, eco2, 7920, 21140.47, 786.7, 323.8
17, eco1, 1881, 22833.87, 823.9, 351.5
17, eco2, 7920, 21140.47, 786.7, 323.8
18, eco1, 1881, 22833.87, 823.9, 351.5
18, eco2, 7920, 21140.47, 786.7, 323.8
19, eco1, 1881, 22833.87, 823.9, 351.5
19, eco2, 7920, 21140.47, 786.7, 323.8
20, eco1, 1881, 22926.33, 828.9, 349.3
20, eco2, 7920, 21679.92, 789.6, 319.5
21, eco1, 1881, 22573.47, 828.9, 349.3
21, eco2, 7920, 21679.92, 789.6, 319.5
22, eco1, 1881, 22523.95, 824.8, 349.3
22, eco2, 7920, 21679.92, 789.6, 319.5
23, eco1, 1881, 22151.86, 824.8, 349.3
23, eco2, 7920, 21431.97, 790.3, 319.7
24, eco1, 1881, 22151.86, 824.8, 349.3
24, eco2, 7920, 21431.97, 790.3, 319.7
25, eco1, 1881, 22898.90, 839.3, 348.3
25, eco2, 7920, 22176.29, 798.1, 317.6
26, eco1, 1881, 22898.90, 839.3, 348.3
26, eco2, 7920, 22176.29, 798.1, 317.6
27, eco1, 1881, 22898.90, 839.3, 348.3
27, eco2, 7920, 22176.29, 798.1, 317.6
28, eco1, 1881, 22898.90, 839.3, 348.3
28, eco2, 7920, 22176.29, 798.1, 317.6
29, eco1, 1881, 22898.90, 839.3, 348.3
29, eco2, 7920, 22176.29, 798.1, 317.6
30, eco1, 1881, 23647.82, 854.3, 349.8
30, eco2, 7920, 22768.87, 811.4, 317.6
31, eco1, 1881, 23647.82, 854.3, 349.8
31, eco2, 7920, 22768.87, 811.4, 317.6
32, eco1, 1881, 23647.82, 854.3, 349.8
32, eco2, 7920, 22768.87, 811.4, 317.6
33, eco1, 1881, 23647.82, 854.3, 349.8
33, eco2, 7920, 22768.87, 811.4, 317.6
34, eco1, 1881, 23647.82, 854.3, 349.8
34, eco2, 7920, 22768.87, 811.4, 317.6
35, eco1, 1881, 24204.87, 860.8, 349.5
35, eco2, 7920, 23237.09, 827.5, 320.6
36, eco1, 1881, 24204.87, 860.8, 349.5
36, eco2, 7920, 23237.09, 827.5, 320.6
37, eco1, 1881, 24204.87, 860.8, 349.5
37, eco2, 7920, 23237.09, 827.5, 320.6
38, eco1, 1881, 24204.87, 860.8, 349.5
38, eco2, 7920, 23237.09, 827.5, 320.6
39, eco1, 1881, 24204.87, 860.8, 349.5
39, eco2, 7920, 23237.09, 827.5, 320.6
40, eco1, 1881, 24618.14, 861.9, 346.8
40, eco2, 7920, 23612.89, 839.1, 323.4
41, eco1, 1881, 24618.14, 861.9, 346.8
41, eco2, 7920, 23612.89, 839.1, 323.4
42, eco1, 1881, 24618.14, 861.9, 346.8
42, eco2, 7920, 23612.89, 839.1, 323.4
43, eco1, 1881, 24618.14, 861.9, 346.8
43, eco2, 7920, 23612.89, 839.1, 323.4
44, eco1, 1881, 24618.14, 861.9, 346.8
44, eco2, 7920, 23612.89, 839.1, 323.4
45, eco1, 1881, 24935.08, 860.4, 342.5
45, eco2, 7920, 23899.18, 846.2, 324.8
46, eco1, 1881, 24935.08, 860.4, 342.5
46, eco2, 7920, 23899.18, 846.2, 324.8
47, eco1, 1881, 24935.08, 860.4, 342.5
47, eco2, 7920, 23899.18, 846.2, 324.8
48, eco1, 1881, 24935.08, 860.4, 342.5
48, eco2, 7920, 23899.18, 846.2, 324.8
49, eco1, 1881, 24935.08, 860.4, 342.5
49, eco2, 7920, 23899.18, 846.2, 324.8
50, eco1, 1881, 25146.91, 856.0, 337.9
50, eco2, 7920, 24097.02, 846.0, 324.2
