Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB
1, eco1, 1881, 21408.86, 3.2, 350.1
1, eco2, 7920, 19913.70, 0.7, 327.3
2, eco1, 1881, 20518.68, 3.2, 350.1
2, eco2, 7920, 18973.43, 0.7, 327.3
3, eco1, 1881, 20264.00, 133.5, 349.9
3, eco2, 7920, 18658.57, 278.2, 326.2
4, eco1, 1881, 19629.42, 133.5, 349.9
4, eco2, 7920, 17984.66, 278.1, 274.6
0, eco1, 1881, 19629.42, 133.5, 349.9
0, eco2, 7920, 17925.80, 278.1, 274.6
5, eco1, 1881, 20925.45, 794.3, 345.4
5, eco2, 7920, 18769.19, 747.1, 294.9
6, eco1, 1881, 20925.45, 794.3, 345.4
6, eco2, 7920, 18769.19, 747.1, 294.9
7, eco1, 1881, 20925.45, 794.3, 345.4
7, eco2, 7920, 18769.19, 747.1, 294.9
8, eco1, 1881, 20925.45, 794.3, 345.4
8, eco2, 7920, 18769.19, 747.1, 294.9
9, eco1, 1881, 20925.45, 794.3, 345.4
9, eco2, 7920, 18769.19, 747.1, 294.9
10, eco1, 1881, 22072.62, 814.5, 350.5
10, eco2, 7920, 20114.61, 778.0, 323.5
11, eco1, 1881, 22072.62, 814.5, 350.5
11, eco2, 7920, 20114.61, 778.0, 323.5
12, eco1, 1881, 22072.62, 814.5, 350.5
12, eco2, 7920, 20114.61, 778.0, 323.5
13, eco1, 1881, 22072.62, 814.5, 350.5
13, eco2, 7920, 20114.61, 778.0, 323.5
14, eco1, 1881, 22072.62, 814.5, 350.5
14, eco2, 7920, 20114.61, 778.0, 323.5
15, eco1, 1881, 22840.48, 824.7, 351.5
15, eco2, 7920, 21116.78, 786.7, 323.6
16, eco1, 1881, 22840.48, 824.7, 351.5
16, eco2, 7920, 21116.78, 786.7, 323.6
17, eco1, 1881, 22840.48, 824.7, 351.5
17, eco2, 7920, 21116.78, 786.7, 323.6
18, eco1, 1881, 22840.48, 824.7, 351.5
18, eco2, 7920, 21116.78, 786.7, 323.6
19, eco1, 1881, 22840.48, 824.7, 351.5
19, eco2, 7920, 21116.78, 786.7, 323.6
20, eco1, 1881, 22931.18, 829.4, 349.2
20, eco2, 7920, 21646.29, 789.5, 319.3
21, eco1, 1881, 22582.31, 829.4, 349.2
21, eco2, 7920, 21646.29, 789.5, 319.3
22, eco1, 1881, 22557.97, 825.4, 349.1
22, eco2, 7920, 21646.29, 789.5, 319.3
23, eco1, 1881, 22178.27, 825.4, 349.1
23, eco2, 7920, 21395.11, 790.2, 319.5
24, eco1, 1881, 22178.27, 825.4, 349.1
24, eco2, 7920, 21395.11, 790.2, 319.5
25, eco1, 1881, 22924.80, 839.7, 348.1
25, eco2, 7920, 22138.55, 798.0, 317.4
26, eco1, 1881, 22924.80, 839.7, 348.1
26, eco2, 7920, 22138.55, 798.0, 317.4
27, eco1, 1881, 22924.80, 839.7, 348.1
27, eco2, 7920, 22138.55, 798.0, 317.4
28, eco1, 1881, 22924.80, 839.7, 348.1
28, eco2, 7920, 22138.55, 798.0, 317.4
29, eco1, 1881, 22924.80, 839.7, 348.1
29, eco2, 7920, 22138.55, 798.0, 317.4
30, eco1, 1881, 23668.13, 854.1, 349.4
30, eco2, 7920, 22730.82, 811.2, 317.4
31, eco1, 1881, 23668.13, 854.1, 349.4
31, eco2, 7920, 22730.82, 811.2, 317.4
32, eco1, 1881, 23668.13, 854.1, 349.4
32, eco2, 7920, 22730.82, 811.2, 317.4
33, eco1, 1881, 23668.13, 854.1, 349.4
33, eco2, 7920, 22730.82, 811.2, 317.4
34, eco1, 1881, 23668.13, 854.1, 349.4
34, eco2, 7920, 22730.82, 811.2, 317.4
35, eco1, 1881, 24224.68, 860.1, 348.9
35, eco2, 7920, 23203.69, 827.2, 320.4
36, eco1, 1881, 24224.68, 860.1, 348.9
36, eco2, 7920, 23203.69, 827.2, 320.4
37, eco1, 1881, 24224.68, 860.1, 348.9
37, eco2, 7920, 23203.69, 827.2, 320.4
38, eco1, 1881, 24224.68, 860.1, 348.9
38, eco2, 7920, 23203.69, 827.2, 320.4
39, eco1, 1881, 24224.68, 860.1, 348.9
39, eco2, 7920, 23203.69, 827.2, 320.4
40, eco1, 1881, 24638.26, 860.2, 345.9
40, eco2, 7920, 23584.82, 838.8, 323.1
41, eco1, 1881, 24638.26, 860.2, 345.9
41, eco2, 7920, 23584.82, 838.8, 323.1
42, eco1, 1881, 24638.26, 860.2, 345.9
42, eco2, 7920, 23584.82, 838.8, 323.1
43, eco1, 1881, 24638.26, 860.2, 345.9
43, eco2, 7920, 23584.82, 838.8, 323.1
44, eco1, 1881, 24638.26, 860.2, 345.9
44, eco2, 7920, 23584.82, 838.8, 323.1
45, eco1, 1881, 24954.82, 859.3, 341.5
45, eco2, 7920, 23877.03, 845.8, 324.6
46, eco1, 1881, 24954.82, 859.3, 341.5
46, eco2, 7920, 23877.03, 845.8, 324.6
47, eco1, 1881, 24954.82, 859.3, 341.5
47, eco2, 7920, 23877.03, 845.8, 324.6
48, eco1, 1881, 24954.82, 859.3, 341.5
48, eco2, 7920, 23877.03, 845.8, 324.6
49, eco1, 1881, 24954.82, 859.3, 341.5
49, eco2, 7920, 23877.03, 845.8, 324.6
50, eco1, 1881, 25171.76, 854.6, 336.9
50, eco2, 7920, 24080.96, 845.6, 324.0
